"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-May-2022","EQ","710.00","710.95","700.00","717.20","705.75","704.55","704.29","6,396.30","639.45",2164692,"1,524,578,950.85",105693
"05-May-2022","EQ","729.95","732.60","714.20","721.65","719.00","717.20","723.73","6,396.30","639.45",1245236,"901,218,390.85",49947
"04-May-2022","EQ","740.00","744.70","719.15","737.50","722.00","721.65","728.43","6,396.30","639.45",1654040,"1,204,847,155.65",71151
"02-May-2022","EQ","740.00","742.70","730.15","745.95","738.30","737.50","736.25","6,396.30","639.45",1299170,"956,519,876.05",48539
"29-Apr-2022","EQ","759.95","766.65","745.00","757.40","747.00","745.95","753.84","6,396.30","639.45",1428538,"1,076,884,290.95",47855
"28-Apr-2022","EQ","756.70","761.00","744.10","748.50","756.00","757.40","753.20","6,396.30","639.45",1902979,"1,433,314,274.05",45462
"27-Apr-2022","EQ","755.00","758.55","742.10","761.05","748.75","748.50","748.32","6,396.30","639.45",1666186,"1,246,836,169.30",53741
"26-Apr-2022","EQ","749.00","762.80","749.00","745.60","761.00","761.05","759.63","6,396.30","639.45",1581369,"1,201,261,242.30",48273
"25-Apr-2022","EQ","745.00","754.45","740.00","755.20","748.25","745.60","746.78","6,396.30","639.45",1579619,"1,179,628,938.90",60054
"22-Apr-2022","EQ","751.25","766.00","751.00","759.65","755.30","755.20","759.17","6,396.30","639.45",1361764,"1,033,805,651.10",46244
"21-Apr-2022","EQ","757.80","761.30","751.15","747.60","760.35","759.65","757.12","6,396.30","639.45",1365751,"1,034,044,146.40",41044
"20-Apr-2022","EQ","755.00","761.50","742.85","752.75","749.55","747.60","751.35","6,396.30","639.45",2149320,"1,614,886,904.75",66104
"19-Apr-2022","EQ","771.05","778.00","745.30","767.20","750.00","752.75","763.94","6,396.30","639.45",2121322,"1,620,553,394.95",77698
"18-Apr-2022","EQ","778.00","778.00","757.30","780.30","768.50","767.20","764.51","6,396.30","639.45",2339997,"1,788,951,835.15",80031
"13-Apr-2022","EQ","790.00","793.70","778.00","783.60","781.00","780.30","786.16","6,396.30","639.45",1501647,"1,180,528,739.45",46669
"12-Apr-2022","EQ","801.40","801.95","776.40","801.40","783.80","783.60","785.05","6,396.30","639.45",2743228,"2,153,563,884.90",87954
"11-Apr-2022","EQ","790.35","809.00","790.35","790.35","801.95","801.40","800.59","6,396.30","639.45",2482781,"1,987,689,318.60",59938
"08-Apr-2022","EQ","791.85","799.80","789.05","787.75","791.15","790.35","793.52","6,396.30","639.45",1715933,"1,361,619,105.90",51495
"07-Apr-2022","EQ","795.85","801.00","784.00","791.95","788.65","787.75","791.85","6,396.30","639.45",3337181,"2,642,535,016.15",89725
"06-Apr-2022","EQ","820.00","828.95","787.75","822.35","795.85","791.95","806.09","6,396.30","639.45",5400080,"4,352,933,585.90",135583
"05-Apr-2022","EQ","840.85","840.95","819.45","832.70","822.00","822.35","828.63","6,396.30","639.45",3480544,"2,884,087,721.70",87143
"04-Apr-2022","EQ","803.95","837.70","803.00","798.20","834.00","832.70","817.79","6,396.30","639.45",5650502,"4,620,932,860.60",142867
"01-Apr-2022","EQ","777.00","802.65","775.55","774.70","797.75","798.20","792.74","6,396.30","639.45",4160527,"3,298,227,660.25",94790
"31-Mar-2022","EQ","791.05","792.75","773.00","789.55","777.00","774.70","780.79","6,396.30","639.45",2496423,"1,949,179,989.80",65436
"30-Mar-2022","EQ","773.00","795.00","769.00","767.60","787.00","789.55","786.27","6,396.30","639.45",5002096,"3,932,986,474.35",109822
"29-Mar-2022","EQ","769.00","775.75","766.00","766.25","767.00","767.60","770.13","6,396.30","639.45",2496305,"1,922,476,718.50",48269
"28-Mar-2022","EQ","771.00","776.95","758.60","770.05","766.00","766.25","768.34","6,396.30","639.45",2500762,"1,921,429,958.65",52670
"25-Mar-2022","EQ","779.00","779.25","768.00","772.50","769.95","770.05","773.68","6,396.30","639.45",1756340,"1,358,843,624.05",46465
"24-Mar-2022","EQ","766.40","779.40","760.30","766.45","771.00","772.50","770.44","6,396.30","639.45",1803315,"1,389,353,896.75",46983
"23-Mar-2022","EQ","772.00","785.60","763.00","765.80","766.00","766.45","774.08","6,396.30","639.45",3000265,"2,322,455,501.90",71631
"22-Mar-2022","EQ","774.00","774.00","752.10","770.75","767.95","765.80","761.40","6,396.30","639.45",2670547,"2,033,366,842.70",73773
"21-Mar-2022","EQ","773.05","782.70","768.00","770.45","769.50","770.75","774.10","6,396.30","639.45",2165538,"1,676,334,821.35",59548
"17-Mar-2022","EQ","776.25","779.60","767.15","768.25","770.00","770.45","773.77","6,396.30","639.45",2471381,"1,912,271,509.55",69762
"16-Mar-2022","EQ","768.00","773.60","764.40","756.40","767.15","768.25","768.05","6,396.30","639.45",2456680,"1,886,845,676.45",65574
"15-Mar-2022","EQ","759.00","769.90","751.05","752.85","755.50","756.40","761.50","6,396.30","639.45",3053279,"2,325,073,942.45",81913
"14-Mar-2022","EQ","743.00","762.85","738.55","757.75","752.90","752.85","751.96","6,396.30","639.45",3574348,"2,687,778,185.70",107731
"11-Mar-2022","EQ","754.30","765.00","748.00","758.10","757.15","757.75","757.58","6,396.30","639.45",2461743,"1,864,956,392.65",67865
"10-Mar-2022","EQ","762.00","772.00","750.00","735.05","751.00","758.10","761.84","6,396.30","639.45",5542997,"4,222,875,303.60",146283
"09-Mar-2022","EQ","730.95","738.60","719.05","718.05","737.00","735.05","729.73","6,396.30","639.45",4485413,"3,273,143,711.75",133547
"08-Mar-2022","EQ","718.00","728.95","709.05","718.00","716.95","718.05","718.13","6,396.30","639.45",4872109,"3,498,783,470.95",148675
"07-Mar-2022","EQ","740.00","740.00","708.40","747.25","720.00","718.00","719.39","6,396.30","639.45",6257302,"4,501,427,160.55",251293
"04-Mar-2022","EQ","780.00","780.20","730.00","799.65","747.80","747.25","752.65","6,396.30","639.45",15395743,"11,587,653,881.90",437146
"03-Mar-2022","EQ","822.00","822.00","796.85","808.80","801.00","799.65","807.77","6,396.30","639.45",2962409,"2,392,950,216.10",78908
"02-Mar-2022","EQ","795.00","815.80","795.00","809.35","809.10","808.80","807.54","6,396.30","639.45",3010826,"2,431,354,880.80",81521
"28-Feb-2022","EQ","780.30","812.00","780.20","800.00","809.20","809.35","798.26","6,396.30","639.45",4654745,"3,715,692,488.35",112434
"25-Feb-2022","EQ","770.00","803.50","768.00","738.05","800.00","800.00","791.64","6,396.30","639.45",7097351,"5,618,542,502.55",171627
"24-Feb-2022","EQ","775.00","794.35","735.00","814.35","739.55","738.05","763.78","6,396.30","639.45",10021435,"7,654,178,370.45",437643
"23-Feb-2022","EQ","799.90","819.00","795.00","789.60","812.05","814.35","810.56","6,396.30","639.45",4772916,"3,868,747,415.30",94191
"22-Feb-2022","EQ","781.00","799.35","780.00","803.40","789.05","789.60","790.06","6,396.30","639.45",4301060,"3,398,081,856.95",166574
"21-Feb-2022","EQ","810.00","816.00","796.00","816.35","804.40","803.40","805.70","6,396.30","639.45",3000870,"2,417,808,111.75",98586
"18-Feb-2022","EQ","818.00","827.30","813.05","821.85","815.70","816.35","820.69","6,396.30","639.45",1905006,"1,563,419,803.25",47610
"17-Feb-2022","EQ","829.95","834.00","820.00","825.00","821.45","821.85","827.27","6,396.30","639.45",2350333,"1,944,362,366.30",59030
"16-Feb-2022","EQ","830.80","838.00","820.20","820.50","823.00","825.00","829.42","6,396.30","639.45",2883449,"2,391,604,532.50",71496
"15-Feb-2022","EQ","805.00","823.00","791.50","798.35","822.95","820.50","808.36","6,396.30","639.45",4358562,"3,523,299,879.85",124391
"14-Feb-2022","EQ","819.50","819.95","792.35","830.75","794.90","798.35","808.56","6,396.30","639.45",4917765,"3,976,317,515.10",196760
"11-Feb-2022","EQ","835.50","841.95","825.00","845.90","832.00","830.75","834.46","6,396.30","639.45",2582020,"2,154,591,531.75",86584
"10-Feb-2022","EQ","855.00","855.15","840.30","849.95","845.75","845.90","846.25","6,396.30","639.45",2569073,"2,174,074,470.40",70970
"09-Feb-2022","EQ","859.00","868.40","845.10","838.05","850.50","849.95","853.76","6,396.30","639.45",6791815,"5,798,608,443.55",148381
"08-Feb-2022","EQ","842.50","848.60","821.50","835.60","838.75","838.05","836.21","6,396.30","639.45",3851680,"3,220,794,212.05",100550
"07-Feb-2022","EQ","858.75","868.55","830.00","855.75","836.00","835.60","843.56","6,396.30","639.45",4119747,"3,475,255,369.55",119511
"04-Feb-2022","EQ","861.00","865.50","851.25","860.65","855.00","855.75","857.80","6,396.30","639.45",2105561,"1,806,142,920.35",60856
"03-Feb-2022","EQ","860.50","871.85","857.00","860.90","859.50","860.65","865.09","6,396.30","639.45",2603770,"2,252,490,915.50",70447
"02-Feb-2022","EQ","863.00","868.00","857.00","856.90","860.50","860.90","862.40","6,396.30","639.45",2531086,"2,182,801,747.70",72839
"01-Feb-2022","EQ","894.60","899.90","848.60","868.00","855.65","856.90","874.46","6,396.30","639.45",11012459,"9,629,921,795.75",266196
"31-Jan-2022","EQ","855.00","880.95","849.60","844.60","869.00","868.00","870.28","6,396.30","639.45",4650001,"4,046,801,916.10",113714
"28-Jan-2022","EQ","825.75","860.00","817.00","813.80","845.00","844.60","847.18","6,396.30","639.45",5541007,"4,694,233,329.15",132533
"27-Jan-2022","EQ","818.60","824.40","803.00","829.90","815.00","813.80","811.97","6,396.30","639.45",4740612,"3,849,213,803.90",157350
"25-Jan-2022","EQ","809.00","833.00","784.80","809.80","828.00","829.90","816.52","6,396.30","639.45",5090144,"4,156,208,357.50",155470
"24-Jan-2022","EQ","859.50","860.15","805.00","861.70","810.00","809.80","822.35","6,396.30","639.45",7654105,"6,294,360,365.90",294831
"21-Jan-2022","EQ","873.00","881.00","855.00","880.40","863.00","861.70","867.67","6,396.30","639.45",3915909,"3,397,700,187.85",110211
"20-Jan-2022","EQ","875.75","885.00","865.65","875.95","879.00","880.40","877.12","6,396.30","639.45",3262969,"2,862,014,917.90",83499
"19-Jan-2022","EQ","863.50","877.95","850.30","861.10","875.75","875.95","864.76","6,396.30","639.45",4437914,"3,837,717,036.50",111023
"18-Jan-2022","EQ","899.90","904.20","855.90","897.35","864.00","861.10","876.60","6,396.30","639.45",5857768,"5,134,923,406.05",182707
"17-Jan-2022","EQ","910.00","918.65","891.25","902.70","894.50","897.35","906.13","6,396.30","639.45",6834869,"6,193,257,199.35",166612
"14-Jan-2022","EQ","863.90","908.00","856.70","868.15","905.00","902.70","896.94","6,396.30","639.45",14072932,"12,622,599,788.95",321407
"13-Jan-2022","EQ","861.25","874.00","853.05","861.25","866.30","868.15","865.69","6,396.30","639.45",3384510,"2,929,931,190.25",94226
"12-Jan-2022","EQ","868.80","869.40","848.25","862.40","860.70","861.25","858.86","6,396.30","639.45",3419540,"2,936,911,595.05",90779
"11-Jan-2022","EQ","875.00","883.00","859.15","873.45","861.30","862.40","872.77","6,396.30","639.45",3257687,"2,843,218,476.60",98066
"10-Jan-2022","EQ","862.50","878.75","862.50","860.95","874.00","873.45","871.72","6,396.30","639.45",4778546,"4,165,556,387.30",138868
"07-Jan-2022","EQ","843.25","888.00","842.45","843.25","860.50","860.95","872.13","6,396.30","639.45",12254034,"10,687,148,687.65",261202
"06-Jan-2022","EQ","825.00","847.90","825.00","840.60","843.10","843.25","837.60","6,396.30","639.45",2842824,"2,381,144,376.75",80886
"05-Jan-2022","EQ","845.00","847.10","828.00","848.05","840.45","840.60","837.22","6,396.30","639.45",3312721,"2,773,487,785.50",85868
"04-Jan-2022","EQ","850.00","853.70","843.30","845.65","847.80","848.05","849.60","6,396.30","639.45",2496924,"2,121,394,269.80",59197
"03-Jan-2022","EQ","831.90","850.00","830.35","831.75","845.90","845.65","840.03","6,396.30","639.45",3501695,"2,941,523,121.35",81184
"31-Dec-2021","EQ","834.90","840.00","829.15","833.00","831.40","831.75","833.88","6,396.30","639.45",2712460,"2,261,872,948.55",72688
