"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-May-2022","EQ","1,740.00","1,740.00","1,560.00","1,689.75","1,588.00","1,583.40","1,640.38","2,022.00","371.00",1762584,"2,891,306,278.80",75122
"04-May-2022","EQ","1,840.00","1,840.00","1,680.00","1,812.70","1,690.00","1,689.75","1,739.24","2,022.00","371.00",1015510,"1,766,220,626.75",50230
"02-May-2022","EQ","1,935.00","1,944.10","1,792.00","1,949.20","1,805.00","1,812.70","1,853.97","2,022.00","371.00",1030916,"1,911,286,315.40",57303
"29-Apr-2022","EQ","1,888.30","2,022.00","1,882.00","1,877.35","1,959.00","1,949.20","1,968.84","2,022.00","346.25",2775594,"5,464,703,263.75",99200
"28-Apr-2022","EQ","1,854.00","1,890.50","1,828.15","1,838.75","1,870.80","1,877.35","1,855.64","1,991.00","346.25",681522,"1,264,662,127.95",32800
"27-Apr-2022","EQ","1,810.05","1,867.70","1,800.25","1,824.80","1,838.90","1,838.75","1,839.76","1,991.00","346.25",704605,"1,296,304,850.30",34017
"26-Apr-2022","EQ","1,862.00","1,872.70","1,815.00","1,831.10","1,824.00","1,824.80","1,836.30","1,991.00","346.25",897750,"1,648,537,455.45",43355
"25-Apr-2022","EQ","1,874.00","1,892.65","1,820.00","1,895.05","1,831.00","1,831.10","1,849.27","1,991.00","346.25",1064444,"1,968,449,259.75",41161
"22-Apr-2022","EQ","1,910.00","1,991.00","1,865.40","1,908.95","1,880.90","1,895.05","1,925.02","1,991.00","300.00",5657859,"10,891,492,019.05",200418
"21-Apr-2022","EQ","1,750.30","1,948.90","1,702.80","1,624.10","1,920.00","1,908.95","1,808.97","1,948.90","300.00",7457184,"13,489,817,946.45",229516
"20-Apr-2022","EQ","1,729.00","1,750.00","1,607.05","1,700.25","1,635.00","1,624.10","1,680.55","1,782.40","300.00",1043862,"1,754,261,874.10",45604
"19-Apr-2022","EQ","1,680.80","1,740.00","1,672.00","1,654.35","1,689.90","1,700.25","1,714.67","1,782.40","300.00",1107718,"1,899,367,466.85",39072
"18-Apr-2022","EQ","1,678.00","1,713.85","1,643.95","1,683.65","1,666.70","1,654.35","1,670.77","1,782.40","300.00",549768,"918,536,589.20",25336
